Year,Month,Domestic_Fuel_in_thousand_gallon,Domestic_Passenger,Domestic_Ratio_in_gallon_per_passenger,International_Fuel_in_thousand_gallon,International_Passenger,International_Ratio_in_gallon_per_passenger
2002,10,14850,798106,18.61,14,3449,4.06
2002,11,14022,793393,17.67,5,3831,1.31
2002,12,15257,905821,16.84,14,4591,3.05
2003,1,15173,808361,18.77,27,5180,5.21
2003,2,13374,752636,17.77,26,4879,5.33
2003,3,15587,979873,15.91,49,9231,5.31
2003,4,14622,955006,15.31,50,9335,5.36
2003,5,14966,957484,15.63,58,7356,7.88
2003,6,15272,1024133,14.91,45,8993,5.00
2003,7,16118,1129971,14.26,65,11557,5.62
2003,8,15937,1104533,14.43,48,11986,4.00
2003,9,14420,856681,16.83,50,6034,8.29
2003,10,15449,998067,15.48,45,7127,6.31
2003,11,15118,964891,15.67,49,7750,6.32
2003,12,15472,1021239,15.15,43,9037,4.76
2004,1,15714,883528,17.79,60,9283,6.46
2004,2,15297,920623,16.62,41,10068,4.07
2004,3,16740,1141747,14.66,81,11836,6.84
2004,4,16184,1142523,14.17,81,11726,6.91
2004,5,16799,1099590,15.28,43,9638,4.46
2004,6,16776,1153832,14.54,40,10500,3.81
2004,7,18063,1237363,14.60,40,12049,3.32
2004,8,18375,1186022,15.49,40,11003,3.64
2004,9,15848,865951,18.30,42,414,101.45
2004,10,17843,1112210,16.04,45,2352,19.13
2004,11,18212,1115319,16.33,28,3930,7.12
2004,12,19500,1212609,16.08,34,6114,5.56
2005,1,18947,1061035,17.86,43,7720,5.57
2005,2,18068,1063438,16.99,49,8064,6.08
2005,3,20609,1399229,14.73,68,11794,5.77
2005,4,20285,1316209,15.41,52,10162,5.12
2005,5,21419,1435806,14.92,48,9509,5.05
2005,6,21829,1512605,14.43,60,9826,6.11
2005,7,23185,1612346,14.38,58,10574,5.49
2005,8,23085,1504880,15.34,42,8388,5.01
2005,9,19886,1250751,15.90,24,4102,5.85
2005,10,21864,1430102,15.29,66,5516,11.97
2005,11,22195,1438566,15.43,29,6364,4.56
2005,12,23690,1495076,15.85,43,7224,5.95
2006,1,23484,1338879,17.54,34,6871,4.95
2006,2,21908,1355226,16.17,43,7495,5.74
2006,3,25302,1765264,14.33,61,9930,6.14
2006,4,24926,1757327,14.18,56,10771,5.20
2006,5,25679,1766670,14.54,33,6618,4.99
2006,6,26711,1858916,14.37,35,5953,5.88
2006,7,28153,1955752,14.39,30,5901,5.08
2006,8,28376,1789013,15.86,21,4782,4.39
2006,9,25135,1374733,18.28,6,2478,2.42
2006,10,26710,1602104,16.67,7,3252,2.15
2006,11,26447,1649994,16.03,24,3921,6.12
2006,12,27721,1746999,15.87,24,4188,5.73
2007,1,26673,1490332,17.90,15,3700,4.05
2007,2,25925,1542129,16.81,24,4008,5.99
2007,3,30026,2009358,14.94,18,4887,3.68
2007,4,29542,1991624,14.83,19,4940,3.85
2007,5,30316,2075229,14.61,9,4165,2.16
2007,6,31530,2240000,14.08,16,4759,3.36
2007,7,33622,2402481,13.99,15,4889,3.07
2007,8,33179,2298921,14.43,10,4299,2.33
2007,9,28511,1727524,16.50,0,409,0.00
2007,10,30069,2020863,14.88,0,0,0.00
2007,11,29351,1975370,14.86,0,0,0.00
2007,12,30888,1931224,15.99,0,0,0.00
2008,1,27899,1630401,17.11,0,0,0.00
2008,2,28451,1885353,15.09,0,0,0.00
2008,3,33254,2195896,15.14,0,0,0.00
2008,4,31260,1986404,15.74,0,0,0.00
2008,5,33253,2201107,15.11,0,0,0.00
2008,6,33748,2337226,14.44,0,0,0.00
2008,7,35228,2523358,13.96,0,0,0.00
2008,8,34407,2410535,14.27,0,0,0.00
2008,9,25667,1663361,15.43,0,0,0.00
2008,10,28078,1965942,14.28,0,0,0.00
2008,11,27292,1830770,14.91,0,0,0.00
2008,12,28630,1940556,14.75,0,2638,0.00
2009,1,27101,1656712,16.36,89,10312,8.63
2009,2,25643,1608534,15.94,99,10864,9.11
2009,3,30380,2028310,14.98,129,17965,7.18
2009,4,29256,1977449,14.79,94,15193,6.19
2009,5,30783,1992942,15.45,20,7675,2.61
2009,6,32610,2194879,14.86,50,15910,3.14
2009,7,33719,2422137,13.92,61,16005,3.81
2009,8,33734,2289124,14.74,86,13627,6.31
2009,9,27767,1779279,15.61,50,7675,6.51
2009,10,30013,1984841,15.12,65,10036,6.48
2009,11,29698,1920863,15.46,62,11530,5.38
2009,12,30991,1952063,15.88,123,24125,5.10
2010,1,28835,1664434,17.32,341,24258,14.06
2010,2,26310,1572308,16.73,363,28501,12.74
2010,3,31789,2104423,15.11,398,42861,9.29
2010,4,30505,2013367,15.15,275,45895,5.99
2010,5,31789,2083367,15.26,398,44064,9.03
2010,6,26310,2264400,11.62,363,47137,7.70
2010,7,34929,2383887,14.65,198,47871,4.14
2010,8,34468,2224468,15.49,0,47802,0.00
2010,9,27673,1784659,15.51,69,27940,2.47
2010,10,29353,2030809,14.45,185,39876,4.64
2010,11,29879,1993269,14.99,198,40343,4.91
2010,12,30316,1958229,15.48,333,44300,7.52
2011,1,27761,1634585,16.98,432,44180,9.78
2011,2,26287,1592836,16.50,619,46578,13.29
2011,3,33303,2127757,15.65,777,70126,11.08
2011,4,32640,2035526,16.04,704,74647,9.43
2011,5,32919,2172885,15.15,473,74117,6.38
2011,6,34353,2239405,15.34,544,80200,6.78
2011,7,35897,2413813,14.87,652,98735,6.60
2011,8,34610,2178267,15.89,580,88490,6.55
2011,9,28104,1708393,16.45,351,52940,6.63
2011,10,28840,1955598,14.75,372,56656,6.57
2011,11,29352,1928501,15.22,418,63861,6.55
2011,12,31243,1777771,17.57,582,79868,7.29
2012,1,27172,1516871,17.91,582,86331,6.74
2012,2,27896,1507260,18.51,582,89365,6.51
2012,3,27144,1883161,14.41,734,105909,6.93
