Year,Month,Domestic_Fuel_in_thousand_gallon,Domestic_Passenger,Domestic_Ratio_in_gallon_per_passenger,International_Fuel_in_thousand_gallon,International_Passenger,International_Ratio_in_gallon_per_passenger
2002,10,25155,931774,27.00,794,122764,6.47
2002,11,24135,899258,26.84,1563,156016,10.02
2002,12,25900,1082705,23.92,1652,173780,9.51
2003,1,24875,878763,28.31,1556,170253,9.14
2003,2,22520,856459,26.29,1623,164965,9.84
2003,3,25407,1000331,25.40,1512,187137,8.08
2003,4,24746,991258,24.96,1646,168648,9.76
2003,5,26562,1083729,24.51,1078,157820,6.83
2003,6,29090,1246523,23.34,971,148990,6.52
2003,7,31399,1376591,22.81,901,174662,5.16
2003,8,31477,1393919,22.58,896,190237,4.71
2003,9,26377,1032805,25.54,793,111875,7.09
2003,10,26599,1045731,25.44,892,137524,6.49
2003,11,25540,1042001,24.51,1526,169578,9.00
2003,12,27096,1133722,23.90,1606,183302,8.76
2004,1,25524,944003,27.04,1576,176837,8.91
2004,2,24941,966456,25.81,1684,165809,10.16
2004,3,27475,1158433,23.72,1542,176292,8.75
2004,4,26430,1112449,23.76,1581,177409,8.91
2004,5,28210,1154085,24.44,1027,155384,6.61
2004,6,30542,1353734,22.56,990,158360,6.25
2004,7,32564,1478369,22.03,895,172622,5.18
2004,8,32404,1476184,21.95,927,177576,5.22
2004,9,28088,1151559,24.39,768,126486,6.07
2004,10,27807,1128834,24.63,895,139638,6.41
2004,11,26968,1145747,23.54,1526,173262,8.81
2004,12,28154,1218281,23.11,1643,188055,8.74
2005,1,26953,1044032,25.82,1591,186303,8.54
2005,2,24695,999462,24.71,1529,174533,8.76
2005,3,27995,1236038,22.65,1323,208220,6.35
2005,4,26631,1170371,22.75,1416,190831,7.42
2005,5,27128,1190350,22.79,918,169338,5.42
2005,6,29121,1351254,21.55,845,155251,5.44
2005,7,30253,1457784,20.75,721,173574,4.15
2005,8,30436,1466903,20.75,764,185865,4.11
2005,9,27414,1196558,22.91,705,144827,4.87
2005,10,27343,1142357,23.94,720,155195,4.64
2005,11,26830,1146869,23.39,1251,196739,6.36
2005,12,28101,1183755,23.74,1298,214121,6.06
2006,1,27226,1021481,26.65,1425,215984,6.60
2006,2,24757,1011068,24.49,1304,197489,6.60
2006,3,28234,1231127,22.93,1463,224516,6.52
2006,4,27245,1201561,22.67,1485,217934,6.81
2006,5,28291,1266710,22.33,1050,176310,5.96
2006,6,29827,1413046,21.11,828,164788,5.02
2006,7,31558,1495730,21.10,807,176654,4.57
2006,8,31614,1490338,21.21,802,177376,4.52
2006,9,28238,1225379,23.04,705,138912,5.08
2006,10,27919,1177951,23.70,968,153959,6.29
2006,11,26952,1167309,23.09,1575,191802,8.21
2006,12,27863,1199400,23.23,1709,211327,8.09
2007,1,26846,1012179,26.52,1691,202698,8.34
2007,2,24458,1001350,24.43,1641,194894,8.42
2007,3,27697,1223050,22.65,1798,223753,8.04
2007,4,27070,1229440,22.02,1616,217243,7.44
2007,5,28817,1353994,21.28,1089,178036,6.12
