Year,Month,Domestic_Fuel_in_thousand_gallon,Domestic_Passenger,Domestic_Ratio_in_gallon_per_passenger,International_Fuel_in_thousand_gallon,International_Passenger,International_Ratio_in_gallon_per_passenger
2002,10,193722,6483209,29.88,72334,1268032,57.04
2002,11,179239,5836804,30.71,66134,1248937,52.95
2002,12,187090,6473000,28.90,70421,1428359,49.30
2003,1,180201,5659172,31.84,70310,1354646,51.90
2003,2,158501,5224456,30.34,61854,1139470,54.28
2003,3,179428,6307672,28.45,70110,1320809,53.08
2003,4,169099,5905978,28.63,65688,1197107,54.87
2003,5,174023,6217128,27.99,65405,1230334,53.16
2003,6,176062,6547986,26.89,70591,1443436,48.90
2003,7,187937,7007137,26.82,77384,1735273,44.59
2003,8,187413,6696062,27.99,77645,1728088,44.93
2003,9,167551,5268120,31.80,69972,1244953,56.20
2003,10,175722,5999944,29.29,70808,1273217,55.61
2003,11,166521,5444921,30.58,69769,1336110,52.22
2003,12,174060,5892720,29.54,73248,1531539,47.83
2004,1,173768,5474024,31.74,74446,1472700,50.55
2004,2,165668,5493738,30.16,69334,1335590,51.91
2004,3,188446,6425095,29.33,65688,1534482,42.81
2004,4,174019,6209747,28.02,74942,1515225,49.46
2004,5,173732,6080757,28.57,80120,1480462,54.12
2004,6,177187,6520178,27.18,80750,1655385,48.78
2004,7,181870,6717316,27.07,88939,1974326,45.05
2004,8,182099,6405790,28.43,87825,1914936,45.86
2004,9,154759,5323045,29.07,75823,1387152,54.66
2004,10,167278,6036514,27.71,79953,1459969,54.76
2004,11,162969,5816595,28.02,74648,1439853,51.84
2004,12,170721,6119982,27.90,80603,1673795,48.16
2005,1,164428,5781201,28.44,81140,1666774,48.68
2005,2,152435,5474420,27.84,74442,1454258,51.19
2005,3,170001,6835385,24.87,83384,1835057,45.44
2005,4,161061,6417216,25.10,82067,1652015,49.68
2005,5,164450,6691650,24.58,84774,1698810,49.90
2005,6,169128,7069026,23.93,86531,1884730,45.91
2005,7,177210,7365675,24.06,91607,2173280,42.15
2005,8,171657,6768181,25.36,88224,2003276,44.04
2005,9,151657,5902861,25.69,82088,1558472,52.67
2005,10,152910,6205866,24.64,80873,1502640,53.82
2005,11,154014,6333292,24.32,76503,1509583,50.68
2005,12,158510,6415544,24.71,82043,1750277,46.87
2006,1,158012,6070476,26.03,82984,1719677,48.26
2006,2,142963,5649722,25.30,73480,1478279,49.71
2006,3,162953,6896601,23.63,83455,1817529,45.92
2006,4,155481,6612783,23.51,84262,1806197,46.65
2006,5,160982,6803345,23.66,88263,1812274,48.70
2006,6,158815,6912250,22.98,88198,1926660,45.78
2006,7,158643,7031056,22.56,96535,2155261,44.79
2006,8,162208,6500972,24.95,90817,2020918,44.94
2006,9,148564,5672594,26.19,83616,1583732,52.80
2006,10,153789,6248099,24.61,84087,1599153,52.58
2006,11,143739,6108544,23.53,79346,1583859,50.10
2006,12,153361,6277613,24.43,82389,1782922,46.21
2007,1,155341,5909950,26.28,83457,1768738,47.18
2007,2,138814,5541254,25.05,73224,1492680,49.06
2007,3,156965,6732096,23.32,83456,1844066,45.26
2007,4,150732,6408708,23.52,82787,1787122,46.32
2007,5,155958,6680679,23.34,84561,1767736,47.84
2007,6,153144,6767908,22.63,84629,1882689,44.95
2007,7,155477,7027480,22.12,92695,2092470,44.30
2007,8,158210,6785998,23.31,88891,2018412,44.04
2007,9,147281,5859871,25.13,81758,1653459,49.45
2007,10,155619,6479379,24.02,82959,1697201,48.88
2007,11,148647,6279415,23.67,78223,1700061,46.01
2007,12,152071,6078965,25.02,85481,1840017,46.46
2008,1,149790,5850893,25.60,84802,1813264,46.77
2008,2,137848,5531829,24.92,77274,1603099,48.20
2008,3,146904,6337511,23.18,82416,1899842,43.38
2008,4,137226,5847967,23.47,83525,1693703,49.32
2008,5,151321,6491559,23.31,85159,1826707,46.62
2008,6,145339,6537176,22.23,84213,1868045,45.08
2008,7,150115,6750738,22.24,88927,2048892,43.40
2008,8,149545,6406449,23.34,88909,2027656,43.85
2008,9,131916,5241968,25.17,79651,1518292,52.46
2008,10,136113,5854321,23.25,80455,1578522,50.97
2008,11,125383,5130873,24.44,78646,1584992,49.62
2008,12,133668,5557555,24.05,81745,1717136,47.61
2009,1,130723,5046794,25.90,81484,1646798,49.48
2009,2,118453,4817178,24.59,71123,1394746,50.99
2009,3,133762,5788308,23.11,80623,1634131,49.34
2009,4,129672,5598830,23.16,79017,1638680,48.22
2009,5,132368,5659385,23.39,82974,1561968,53.12
2009,6,130895,5901624,22.18,82116,1723349,47.65
2009,7,136209,6235789,21.84,85185,1922721,44.30
2009,8,133903,5873874,22.80,83126,1845142,45.05
2009,9,132049,5068030,26.06,73548,1441869,51.01
2009,10,129919,5582936,23.27,76216,1537370,49.58
2009,11,120974,5177516,23.37,72872,1505763,48.40
2009,12,129759,5392231,24.06,77986,1678815,46.45
2010,1,128336,5071320,25.31,77527,1623904,47.74
2010,2,113861,4587189,24.82,68087,1368464,49.75
2010,3,131381,5826764,22.55,78256,1676622,46.67
2010,4,125513,5556542,22.59,74182,1589256,46.68
2010,5,129285,5668495,22.81,87319,1706781,51.16
2010,6,128400,5826063,22.04,84408,1819741,46.38
2010,7,132974,6019072,22.09,91202,2044146,44.62
2010,8,129847,5756912,22.55,88127,1954418,45.09
2010,9,121194,5120391,23.67,81104,1570938,51.63
2010,10,123471,5621810,21.96,83468,1671953,49.92
2010,11,119662,5271371,22.70,77508,1597873,48.51
2010,12,124099,5385462,23.04,80739,1750643,46.12
2011,1,122738,4984095,24.63,82537,1721945,47.93
2011,2,109009,4528400,24.07,72769,1450789,50.16
2011,3,126142,5672521,22.24,82715,1749361,47.28
2011,4,123045,5443337,22.60,82202,1677494,49.00
2011,5,122594,5620742,21.81,87085,1738519,50.09
2011,6,125055,5859655,21.34,86255,1855489,46.49
2011,7,128585,6076925,21.16,92742,2108152,43.99
2011,8,124646,5717545,21.80,88551,1928311,45.92
2011,9,117406,5277512,22.25,81680,1573058,51.92
2011,10,118637,5597937,21.19,83426,1636251,50.99
2011,11,112041,5237700,21.39,74148,1571807,47.17
2011,12,116416,5217199,22.31,81328,1791107,45.41
2012,1,115609,4997279,23.13,82359,1772562,46.46
2012,2,111386,4867812,22.88,76600,1547404,49.50
2012,3,123204,5799813,21.24,82379,1805382,45.63
2012,4,114731,5407854,21.22,79198,1720613,46.03
2012,5,122556,5810112,21.09,82976,1752991,47.33
2012,6,119344,5763314,20.71,84326,1877300,44.92
2012,7,124774,5862790,21.28,90465,2118354,42.71
2012,8,122150,5670333,21.54,87927,1962848,44.80
2012,9,110350,4927838,22.39,81788,1632458,50.10
2012,10,113461,5307352,21.38,83387,1638952,50.88
2012,11,101803,5217765,19.51,89256,1663385,53.66
2012,12,120303,5377297,22.37,85264,1828984,46.62
2013,1,118343,5195596,22.78,83056,1781780,46.61
2013,2,107445,4822406,22.28,75221,1537307,48.93
2013,3,120703,5673163,21.28,86435,1872393,46.16
2013,4,116285,5349248,21.74,83043,1686536,49.24
2013,5,121292,5661503,21.42,88255,1796344,49.13
2013,6,122018,5766511,21.16,91229,1953480,46.70
2013,7,126364,5904915,21.40,97431,2168377,44.93
2013,8,112019,5717993,19.59,108784,2068984,52.58
