Year,Month,Domestic_Fuel_in_thousand_gallon,Domestic_Passenger,Domestic_Ratio_in_gallon_per_passenger,International_Fuel_in_thousand_gallon,International_Passenger,International_Ratio_in_gallon_per_passenger
2002,10,138943,7079446,19.63,49196,570431,86.24
2002,11,134186,6612595,20.29,45315,502136,90.24
2002,12,137571,7220998,19.05,43214,531834,81.25
2003,1,137002,6256572,21.90,41963,501708,83.64
2003,2,118675,5870602,20.22,32428,406908,79.69
2003,3,136516,6962353,19.61,39596,491280,80.60
2003,4,124575,6145813,20.27,34904,448587,77.81
2003,5,122498,6330578,19.35,35720,482973,73.96
2003,6,124688,6819044,18.29,40363,584526,69.05
2003,7,130109,7186864,18.10,43172,631965,68.31
2003,8,132748,6997110,18.97,44735,640776,69.81
2003,9,122147,5728266,21.32,42405,532769,79.59
2003,10,129852,6657727,19.50,41353,536982,77.01
2003,11,125879,6222544,20.23,38266,501685,76.27
2003,12,130048,6494295,20.02,39683,546344,72.63
2004,1,131566,5811244,22.64,37667,505444,74.52
2004,2,125372,5945233,21.09,34518,435337,79.29
2004,3,137490,6939267,19.81,37259,554436,67.20
2004,4,131800,6697058,19.68,41679,602306,69.20
2004,5,134861,6756571,19.96,46198,636447,72.59
2004,6,136958,7227106,18.95,48245,727669,66.30
2004,7,140549,7465888,18.83,50104,770449,65.03
2004,8,138398,6990016,19.80,48494,735386,65.94
2004,9,125663,5592484,22.47,44563,618841,72.01
2004,10,135426,6719259,20.15,44489,613865,72.47
2004,11,131454,6534768,20.12,40888,558698,73.18
2004,12,130927,6585438,19.88,44250,630844,70.14
2005,1,129183,6181166,20.90,43454,617932,70.32
2005,2,125230,6037652,20.74,37887,529426,71.56
2005,3,139200,7451564,18.68,45222,715546,63.20
2005,4,132212,6852422,19.29,45430,685445,66.28
2005,5,135474,6918818,19.58,50369,743673,67.73
2005,6,135023,7052541,19.15,51797,792338,65.37
2005,7,140860,7392260,19.06,55408,839396,66.01
2005,8,138373,6971761,19.85,54738,785448,69.69
2005,9,118003,5590403,21.11,52060,682944,76.23
2005,10,121030,5791053,20.90,48177,660114,72.98
2005,11,116285,5729451,20.30,42968,597837,71.87
2005,12,115033,5502327,20.91,48379,702173,68.90
2006,1,107376,5178427,20.74,45833,669107,68.50
2006,2,97333,4832741,20.14,40416,562043,71.91
2006,3,112929,5984020,18.87,51462,793447,64.86
2006,4,106376,5359953,19.85,51831,784461,66.07
2006,5,102298,5146846,19.88,57345,841844,68.12
2006,6,114157,5621749,20.31,47025,1034440,45.46
2006,7,111927,5800757,19.30,69814,1118062,62.44
2006,8,112251,5425930,20.69,67870,1008984,67.27
2006,9,97373,4624176,21.06,61082,800356,76.32
2006,10,101249,5244035,19.31,59735,771702,77.41
2006,11,101276,5117138,19.79,59774,729948,81.89
2006,12,99759,5056445,19.73,56199,894393,62.83
2007,1,97585,4621285,21.12,56433,865822,65.18
2007,2,87531,4347112,20.14,48995,728193,67.28
2007,3,102164,5601307,18.24,58963,970854,60.73
2007,4,96258,5246031,18.35,58836,907322,64.85
2007,5,96132,5142785,18.69,64053,931666,68.75
2007,6,103785,5569865,18.63,73275,1130654,64.81
2007,7,109104,5765824,18.92,77478,1238220,62.57
2007,8,108132,5641320,19.17,76835,1138378,67.50
2007,9,95870,4692230,20.43,66950,886657,75.51
2007,10,100697,5218171,19.30,64591,851536,75.85
2007,11,96755,4907762,19.71,57819,813768,71.05
2007,12,97738,4740516,20.62,63361,957552,66.17
2008,1,93521,4447414,21.03,60302,895726,67.32
2008,2,89706,4457313,20.13,55260,785929,70.31
2008,3,98987,5388259,18.37,63964,1051782,60.81
2008,4,90559,4932096,18.36,66838,976689,68.43
2008,5,88528,4881341,18.14,73704,1055352,69.84
2008,6,96101,5222631,18.40,82785,1235465,67.01
2008,7,99003,5489308,18.04,88809,1369886,64.83
2008,8,95831,5205975,18.41,87255,1267168,68.86
2008,9,83738,4586866,18.26,75528,946046,79.84
2008,10,88415,5118760,17.27,72219,918030,78.67
2008,11,84588,4724090,17.91,65209,828561,78.70
2008,12,88224,4822270,18.30,71924,990713,72.60
2009,1,85838,4351463,19.73,66396,908126,73.11
2009,2,77154,4012582,19.23,57960,724645,79.98
2009,3,87512,4731914,18.49,66343,939464,70.62
2009,4,83910,4673010,17.96,65096,958239,67.93
2009,5,84397,4695195,17.98,68595,964716,71.10
2009,6,102267,4881087,20.95,95316,1205824,79.05
2009,7,113947,5244681,21.73,107299,1350256,79.47
2009,8,92428,5060331,18.27,84584,1245340,67.92
2009,9,80712,4380862,18.42,71015,980636,72.42
2009,10,85460,4795766,17.82,67545,950889,71.03
2009,11,81113,4455362,18.21,59580,825580,72.17
2009,12,84490,4344754,19.45,65766,1013678,64.88
2010,1,128690,6269827,20.53,104862,1432868,73.18
2010,2,116495,5896921,19.76,94363,1270381,74.28
2010,3,139635,7697000,18.14,108851,1629281,66.81
2010,4,134564,7488219,17.97,102007,1416252,72.03
2010,5,141431,7658466,18.47,118098,1598470,73.88
2010,6,147802,8333586,17.74,134816,1926162,69.99
2010,7,154894,8570388,18.07,143131,2117177,67.60
2010,8,152452,8289570,18.39,141347,2003618,70.55
2010,9,138090,7325582,18.85,122238,1590182,76.87
2010,10,141079,7988508,17.66,121766,1559000,78.11
2010,11,132433,7336348,18.05,108200,1334879,81.06
2010,12,132942,7097273,18.73,116801,1499834,77.88
2011,1,122733,6353800,19.32,124223,1465952,84.74
2011,2,112959,6190982,18.25,111369,1260350,88.36
2011,3,136692,8038760,17.00,129804,1606405,80.80
2011,4,128395,7708165,16.66,126194,1547821,81.53
2011,5,133809,8211317,16.30,130453,1625061,80.28
2011,6,138649,8476210,16.36,146632,1918498,76.43
2011,7,144988,8975080,16.15,159312,2139018,74.48
