Year,Month,Domestic_Fuel_in_thousand_gallon,Domestic_Passenger,Domestic_Ratio_in_gallon_per_passenger,International_Fuel_in_thousand_gallon,International_Passenger,International_Ratio_in_gallon_per_passenger
2002,10,7595,311440,24.39,,,
2002,11,7098,295688,24.01,,,
2002,12,0,386895,0.00,,,
2003,1,7830,308392,25.39,,,
2003,2,7177,244482,29.36,,,
2003,3,7610,368087,20.67,,,
2003,4,7961,359112,22.17,,,
2003,5,8119,389827,20.83,,,
2003,6,8315,453662,18.33,,,
2003,7,8760,509599,17.19,,,
2003,8,8685,501375,17.32,,,
2003,9,8065,430480,18.73,,,
2003,10,8556,472005,18.13,,,
2003,11,8646,439005,19.69,,,
2003,12,9554,502534,19.01,,,
2004,1,9793,444096,22.05,,,
2004,2,9533,418894,22.76,,,
2004,3,10957,521802,21.00,,,
2004,4,11044,469714,23.51,,,
2004,5,11793,476039,24.77,,,
2004,6,12798,582611,21.97,,,
2004,7,13918,664275,20.95,,,
2004,8,13109,586969,22.33,,,
2004,9,11391,461020,24.71,,,
2004,10,12043,534932,22.51,,,
2004,11,11660,496985,23.46,,,
2004,12,12725,537215,23.69,,,
2005,1,12166,483770,25.15,,,
2005,2,10855,465303,23.33,,,
2005,3,12825,469904,27.29,,,
2005,4,11670,539759,21.62,,,
2005,5,12701,598322,21.23,,,
2005,6,13079,659042,19.85,,,
2005,7,14228,736958,19.31,,,
2005,8,13545,672762,20.13,,,
2005,9,12565,571834,21.97,,,
2005,10,12957,607610,21.32,,,
2005,11,12400,593548,20.89,,,
2005,12,13618,612863,22.22,,,
2006,1,13434,569595,23.59,,,
2006,2,12336,569584,21.66,,,
2006,3,14282,717595,19.90,,,
2006,4,13765,696162,19.77,,,
2006,5,14907,768147,19.41,,,
2006,6,15101,815649,18.51,,,
2006,7,15831,885121,17.89,,,
2006,8,15477,820329,18.87,,,
2006,9,14250,663360,21.48,,,
2006,10,14610,723730,20.19,,,
2006,11,13860,674932,20.54,,,
2006,12,13775,586281,23.50,,,
2007,1,14955,620546,24.10,,,
2007,2,13688,625292,21.89,,,
2007,3,16391,791337,20.71,,,
2007,4,16121,762592,21.14,,,
2007,5,17319,852204,20.32,,,
2007,6,17333,914914,18.94,,,
2007,7,18370,1013939,18.12,,,
2007,8,17965,970334,18.51,,,
2007,9,16240,789749,20.56,,,
2007,10,16673,846705,19.69,,,
2007,11,16112,784923,20.53,,,
2007,12,17458,734558,23.77,,,
2008,1,16661,695096,23.97,,,
2008,2,15762,699987,22.52,,,
2008,3,18405,869495,21.17,,,
2008,4,16150,821973,19.65,,,
2008,5,16682,900492,18.53,,,
2008,6,15448,959952,16.09,,,
2008,7,15875,1049121,15.13,,,
2008,8,16150,991946,16.28,,,
2008,9,12359,786982,15.70,,,
2008,10,12472,812821,15.34,,,
2008,11,12750,725568,17.57,,,
2008,12,12812,757262,16.92,,,
2009,1,12403,650663,19.06,,,
2009,2,11214,621662,18.04,,,
2009,3,12472,751134,16.60,,,
2009,4,12218,732015,16.69,,,
2009,5,12901,814101,15.85,,,
2009,6,13003,877589,14.82,,,
2009,7,13537,943212,14.35,,,
2009,8,13238,899903,14.71,,,
2009,9,12070,769951,15.68,,,
2009,10,12557,762088,16.48,,,
2009,11,12821,624777,20.52,,,
2009,12,13939,608624,22.90,,,
2010,1,13314,525037,25.36,,,
2010,2,12014,528045,22.75,,,
2010,3,13746,754810,18.21,,,
2010,4,13871,733042,18.92,,,
2010,5,15082,802231,18.80,,,
2010,6,20158,849695,23.72,,,
2010,7,20870,910776,22.91,,,
2010,8,20743,873958,23.73,,,
2010,9,18574,744427,24.95,,,
2010,10,18387,768167,23.94,,,
2010,11,17308,695241,24.89,,,
2010,12,17652,692902,25.48,,,
2011,1,17384,625380,27.80,,,
2011,2,15992,592892,26.97,,,
2011,3,18401,777664,23.66,,,
2011,4,18129,734956,24.67,,,
2011,5,18846,881514,21.38,,,
2011,6,19460,959775,20.28,,,
2011,7,14844,1024537,14.49,,,
2011,8,14792,1040779,14.21,,,
2011,9,13121,918087,14.29,,,
2011,10,12959,917728,14.12,,,
2011,11,12514,868556,14.41,,,
2011,12,12984,863692,15.03,,,
2012,1,11816,740502,15.96,,,
2012,2,11106,703125,15.80,,,
2012,3,12498,815826,15.32,,,
2012,4,12017,759778,15.82,,,
2012,5,12584,859061,14.65,,,
2012,6,13565,915380,14.82,,,
2012,7,14079,964113,14.60,,,
2012,8,13481,934893,14.42,,,
2012,9,11526,799187,14.42,,,
2012,10,11332,846682,13.38,,,
2012,11,10675,788801,13.53,,,
2012,12,11150,799855,13.94,,,
2013,1,9906,722656,13.71,,,
2013,2,8625,643827,13.40,,,
2013,3,9590,749676,12.79,,,
2013,4,9596,723986,13.25,,,
2013,5,10833,861842,12.57,,,
2013,6,11000,887549,12.39,,,
2013,7,11620,923053,12.59,,,
2013,8,11684,933221,12.52,,,
