Year,Month,Domestic_Fuel_in_thousand_gallon,Domestic_Passenger,Domestic_Ratio_in_gallon_per_passenger,International_Fuel_in_thousand_gallon,International_Passenger,International_Ratio_in_gallon_per_passenger
2002,10,8511,443823,19.18,328,1947,168.46
2002,11,8243,430822,19.13,404,1175,343.83
2002,12,8573,466366,18.38,408,2195,185.88
2003,1,8088,445822,18.14,362,1361,265.98
2003,2,7016,422443,16.61,273,1049,260.25
2003,3,7780,477925,16.28,299,2137,139.92
2003,4,7430,432155,17.19,226,1160,194.83
2003,5,7648,429618,17.80,293,1390,210.79
2003,6,8210,467998,17.54,230,2081,110.52
2003,7,8705,525320,16.57,311,2126,146.28
2003,8,8841,548633,16.11,398,2232,178.32
2003,9,7665,425301,18.02,264,1022,258.32
2003,10,7867,460482,17.08,266,1764,150.79
2003,11,7831,462310,16.94,255,1737,146.80
2003,12,8528,479793,17.77,280,1528,183.25
2004,1,8107,455724,17.79,246,1399,175.84
2004,2,7609,442044,17.21,243,1534,158.41
2004,3,8568,497114,17.24,251,1416,177.26
2004,4,8072,463396,17.42,240,1129,212.58
2004,5,7756,453419,17.11,566,4452,127.13
2004,6,7890,481823,16.38,858,7992,107.36
2004,7,8433,524697,16.07,1000,6984,143.18
2004,8,8441,506403,16.67,909,6367,142.77
2004,9,7472,407904,18.32,873,8042,108.56
2004,10,7497,431290,17.38,891,9331,95.49
2004,11,7611,430218,17.69,866,8794,98.48
2004,12,8048,427233,18.84,884,7993,110.60
2005,1,7720,426518,18.10,889,9045,98.29
2005,2,6946,424679,16.36,788,5662,139.17
2005,3,7825,486014,16.10,893,7336,121.73
2005,4,7837,445240,17.60,847,5516,153.55
2005,5,8361,466528,17.92,849,5175,164.06
2005,6,8429,491356,17.15,881,6609,133.30
2005,7,8912,535090,16.66,943,8519,110.69
2005,8,8894,521830,17.04,871,6196,140.57
2005,9,8147,458432,17.77,859,8576,100.16
2005,10,8250,475589,17.35,898,9599,93.55
2005,11,8080,475937,16.98,833,7775,107.14
2005,12,8659,489746,17.68,921,9395,98.03
2006,1,8328,474959,17.53,885,8993,98.41
2006,2,7535,449992,16.74,768,6106,125.78
2006,3,8315,502897,16.53,843,6952,121.26
2006,4,7944,475862,16.69,828,7652,108.21
2006,5,8230,493353,16.68,825,6095,135.36
2006,6,8427,526439,16.01,794,6555,121.13
2006,7,9000,560767,16.05,783,6568,119.21
2006,8,8907,539191,16.52,746,5012,148.84
2006,9,8367,474988,17.62,718,6858,104.70
2006,10,8869,514749,17.23,705,6797,103.72
2006,11,9267,518843,17.86,679,6455,105.19
2006,12,9688,544483,17.79,798,7069,112.89
2007,1,9520,535214,17.79,743,6636,111.97
2007,2,8548,509044,16.79,656,6050,108.43
2007,3,9801,598127,16.39,728,7576,96.09
2007,4,9718,562521,17.28,636,6793,93.63
2007,5,10012,577725,17.33,731,6250,116.96
2007,6,9939,606096,16.40,781,6329,123.40
2007,7,10671,644828,16.55,786,7499,104.81
2007,8,10538,634181,16.62,810,6435,125.87
2007,9,9845,568725,17.31,738,7754,95.18
2007,10,10671,597213,17.87,786,7215,108.94
2007,11,10014,580621,17.25,722,7047,102.45
2007,12,10113,554232,18.25,789,7130,110.66
2008,1,10076,557879,18.06,745,7050,105.67
2008,2,9488,551504,17.20,678,5504,123.18
2008,3,10051,601917,16.70,726,6911,105.05
2008,4,10128,711636,14.23,975,7084,137.63
2008,5,10303,731777,14.08,1356,9308,145.68
2008,6,9913,683453,14.50,1346,10895,123.54
2008,7,10575,714904,14.79,1510,13814,109.31
2008,8,10319,712851,14.48,1364,11158,122.24
2008,9,9134,583691,15.65,1280,10583,120.95
2008,10,9596,633538,15.15,1356,11854,114.39
2008,11,9807,616437,15.91,1324,11823,111.99
2008,12,10233,630378,16.23,1397,12623,110.67
2009,1,10269,624665,16.44,1436,12866,111.61
2009,2,9376,631635,14.84,1215,9432,128.82
2009,3,10192,704681,14.46,1344,11639,115.47
2009,4,9894,668614,14.80,1314,11459,114.67
2009,5,10171,682700,14.90,1353,11843,114.24
2009,6,10220,693259,14.74,1355,11104,122.03
2009,7,10904,757742,14.39,1421,13926,102.04
2009,8,10745,733871,14.64,1423,12775,111.39
2009,9,9595,671542,14.29,1318,11882,110.92
2009,10,9920,685973,14.46,1437,13821,103.97
2009,11,9502,650458,14.61,1350,14032,96.21
2009,12,10275,685672,14.99,1415,14385,98.37
2010,1,10091,654142,15.43,1410,14595,96.61
2010,2,8784,614760,14.29,1230,11831,103.96
2010,3,9566,690269,13.86,1369,13576,100.84
2010,4,9540,648048,14.72,1340,14068,95.25
2010,5,9845,670405,14.69,1359,14646,92.79
2010,6,10563,713404,14.81,1411,14737,95.75
2010,7,11700,789442,14.82,1411,16483,85.60
2010,8,11648,771760,15.09,1399,15096,92.67
2010,9,9924,642165,15.45,1288,14109,91.29
2010,10,10149,683050,14.86,1437,16321,88.05
2010,11,9828,655906,14.98,1746,19886,87.80
2010,12,10948,689604,15.88,2343,29429,79.62
2011,1,10450,658187,15.88,2663,33289,80.00
2011,2,9303,631344,14.74,2560,34009,75.27
2011,3,10376,698320,14.86,2824,33746,83.68
2011,4,9786,645035,15.17,3098,33272,93.11
2011,5,10601,698110,15.19,3251,38838,83.71
2011,6,10490,695946,15.07,3192,40380,79.05
2011,7,10791,746162,14.46,3902,51940,75.13
2011,8,10691,723193,14.78,4001,55583,71.98
2011,9,9650,637666,15.13,3745,52041,71.96
2011,10,9945,651854,15.26,3819,54752,69.75
2011,11,10083,656400,15.36,3713,50052,74.18
2011,12,10466,687929,15.21,4000,51157,78.19
2012,1,10315,683661,15.09,4268,54935,77.69
2012,2,9542,652893,14.61,3922,49997,78.44
2012,3,10685,720148,14.84,4304,56511,76.16
2012,4,9995,662893,15.08,4598,57411,80.09
2012,5,10445,712896,14.65,5333,68268,78.12
2012,6,11692,754943,15.49,5175,72376,71.50
2012,7,12952,807926,16.03,5492,74756,73.47
2012,8,12784,798439,16.01,5753,77555,74.18
2012,9,11866,687936,17.25,5480,72126,75.98
2012,10,12334,733003,16.83,5687,76471,74.37
2012,11,11585,713192,16.24,6026,77081,78.18
2012,12,12010,733664,16.37,6687,77170,86.65
2013,1,11583,710149,16.31,6614,80171,82.50
2013,2,10619,676087,15.71,5965,75004,79.53
2013,3,11906,769749,15.47,7120,85997,82.79
2013,4,10954,693157,15.80,7207,78967,91.27
2013,5,11615,747376,15.54,7454,88569,84.16
2013,6,12511,785661,15.92,6637,87369,75.97
2013,7,13361,840094,15.90,7296,93689,77.87
2013,8,12918,832170,15.52,6910,92415,74.77
