Year,Month,Domestic_Fuel_in_thousand_gallon,Domestic_Passenger,Domestic_Ratio_in_gallon_per_passenger,International_Fuel_in_thousand_gallon,International_Passenger,International_Ratio_in_gallon_per_passenger
2002,10,10293,546693,18.83,0,0,0.00
2002,11,9901,542247,18.26,0,0,0.00
2002,12,11445,637705,17.95,0,0,0.00
2003,1,11896,644223,18.47,0,0,0.00
2003,2,11216,599360,18.71,0,0,0.00
2003,3,13735,748790,18.34,0,0,0.00
2003,4,13306,744224,17.88,0,0,0.00
2003,5,13713,718182,19.09,0,0,0.00
2003,6,14062,731323,19.23,0,0,0.00
2003,7,16010,852509,18.78,0,0,0.00
2003,8,16195,859620,18.84,0,0,0.00
2003,9,14881,687314,21.65,0,0,0.00
2003,10,15729,777204,20.24,0,0,0.00
2003,11,15543,760019,20.45,0,0,0.00
2003,12,16871,826976,20.40,0,0,0.00
2004,1,17669,826038,21.39,0,0,0.00
2004,2,17063,830896,20.54,0,0,0.00
2004,3,18993,975860,19.46,0,0,0.00
2004,4,18975,989971,19.17,0,0,0.00
2004,5,20052,941571,21.30,0,0,0.00
2004,6,20342,967386,21.03,0,9485,0.00
2004,7,22071,1066625,20.69,0,20546,0.00
2004,8,22191,1075261,20.64,0,22851,0.00
2004,9,19204,821693,23.37,0,15687,0.00
2004,10,21346,1018740,20.95,0,10913,0.00
2004,11,20910,1029342,20.31,0,16561,0.00
2004,12,22271,1072630,20.76,0,19475,0.00
2005,1,21876,1054428,20.75,0,20682,0.00
2005,2,20522,1012385,20.27,0,18363,0.00
2005,3,23883,1263260,18.91,0,16801,0.00
2005,4,23520,1225898,19.19,177,18348,9.65
2005,5,24512,1187346,20.64,324,16116,20.10
2005,6,25540,1219847,20.94,317,15098,21.00
2005,7,27564,1344966,20.49,461,24214,19.04
2005,8,27808,1329343,20.92,472,25482,18.52
2005,9,24704,1034289,23.89,0,14439,0.00
2005,10,25780,1115026,23.12,0,13543,0.00
2005,11,26989,1276870,21.14,0,16008,0.00
2005,12,28586,1399053,20.43,0,19013,0.00
2006,1,28596,1354604,21.11,0,19768,0.00
2006,2,26277,1295512,20.28,0,25052,0.00
2006,3,31293,1592972,19.64,0,31949,0.00
2006,4,30633,1565206,19.57,0,33663,0.00
2006,5,30677,1385668,22.14,0,31579,0.00
2006,6,31762,1459971,21.76,0,35390,0.00
2006,7,34702,1671123,20.77,0,43995,0.00
2006,8,35254,1678379,21.00,0,46957,0.00
2006,9,30149,1294543,23.29,0,26500,0.00
2006,10,31685,1512825,20.94,0,32935,0.00
2006,11,31574,1596680,19.77,0,35095,0.00
2006,12,34374,1690538,20.33,0,46099,0.00
2007,1,34156,1600180,21.35,0,45017,0.00
2007,2,30028,1435522,20.92,0,41924,0.00
2007,3,37057,1867683,19.84,0,61996,0.00
2007,4,37122,1871106,19.84,0,61899,0.00
2007,5,37579,1758736,21.37,0,54437,0.00
2007,6,37620,1745168,21.56,0,67628,0.00
2007,7,40338,1923201,20.97,0,91202,0.00
2007,8,41145,1926750,21.35,0,98386,0.00
2007,9,35433,1432461,24.74,0,53175,0.00
2007,10,36668,1571677,23.33,0,52676,0.00
2007,11,37096,1669047,22.23,0,65535,0.00
2007,12,39049,1726062,22.62,0,83254,0.00
2008,1,37848,1639370,23.09,0,87937,0.00
2008,2,36957,1617653,22.85,0,90084,0.00
2008,3,41757,1943610,21.48,0,118446,0.00
2008,4,39516,1823912,21.67,0,107130,0.00
2008,5,37669,1697095,22.20,0,98118,0.00
2008,6,39092,1782082,21.94,0,105413,0.00
2008,7,41277,1954980,21.11,0,136755,0.00
2008,8,41926,1943559,21.57,0,151919,0.00
2008,9,32145,1348592,23.84,0,90281,0.00
2008,10,32589,1494997,21.80,0,102096,0.00
2008,11,34692,1537056,22.57,0,117891,0.00
2008,12,37499,1696031,22.11,0,139396,0.00
2009,1,36143,1512870,23.89,0,147109,0.00
2009,2,34246,1468858,23.31,0,167247,0.00
2009,3,39016,1772633,22.01,0,198373,0.00
2009,4,38253,1747015,21.90,0,199694,0.00
2009,5,37575,1646075,22.83,0,178229,0.00
2009,6,39141,1708753,22.91,0,192823,0.00
2009,7,41243,1922565,21.45,0,258611,0.00
2009,8,42301,1919323,22.04,0,271441,0.00
2009,9,34598,1446836,23.91,0,173145,0.00
2009,10,35316,1551790,22.76,0,170422,0.00
2009,11,36309,1575934,23.04,0,191511,0.00
2009,12,39852,1735840,22.96,0,221176,0.00
2010,1,38996,1536621,25.38,0,212671,0.00
2010,2,35310,1436320,24.58,0,205392,0.00
2010,3,42012,1857652,22.62,0,256107,0.00
2010,4,40383,1782058,22.66,0,251517,0.00
2010,5,39425,1729301,22.80,0,251827,0.00
2010,6,41328,1808994,22.85,0,280265,0.00
2010,7,45147,2002980,22.54,0,347006,0.00
2010,8,44972,1986949,22.63,0,352005,0.00
2010,9,38929,1639859,23.74,0,228337,0.00
2010,10,40024,1783521,22.44,0,221749,0.00
2010,11,39524,1776516,22.25,0,212382,0.00
2010,12,40365,1788497,22.57,0,250172,0.00
2011,1,38175,1666910,22.90,0,246521,0.00
2011,2,37361,1596782,23.40,0,220204,0.00
2011,3,44344,2025200,21.90,0,279672,0.00
2011,4,43940,1901180,23.11,0,283316,0.00
2011,5,43459,1923880,22.59,0,270895,0.00
2011,6,45434,1951745,23.28,0,286895,0.00
2011,7,50267,2195724,22.89,0,379032,0.00
2011,8,47532,2063123,23.04,0,359149,0.00
2011,9,41910,1759225,23.82,0,253830,0.00
2011,10,42699,1904825,22.42,0,253874,0.00
2011,11,42766,1928157,22.18,0,269137,0.00
2011,12,46898,2007341,23.36,0,326283,0.00
2012,1,36836,1863646,19.77,6660,299674,22.22
2012,2,35634,1830931,19.46,6387,289752,22.04
2012,3,40446,2219395,18.22,7398,344264,21.49
2012,4,39417,2121516,18.58,7319,352723,20.75
2012,5,39012,2061439,18.92,6516,311021,20.95
2012,6,40481,2138056,18.93,7211,348751,20.68
2012,7,44466,2348297,18.94,8865,440570,20.12
2012,8,44636,2350214,18.99,8839,442553,19.97
2012,9,38177,1862866,20.49,6609,295743,22.35
2012,10,36892,1921819,19.20,6055,272640,22.21
2012,11,38682,2028019,19.07,7023,310394,22.63
2012,12,41432,2124496,19.50,8292,355590,23.32
2013,1,40280,2041023,19.74,7772,342195,22.71
2013,2,35582,1851783,19.21,7126,310614,22.94
2013,3,43212,2348755,18.40,8217,393028,20.91
2013,4,42195,2163142,19.51,8246,385299,21.40
2013,5,42284,2204878,19.18,7235,355089,20.38
2013,6,43862,2247822,19.51,8033,386659,20.78
2013,7,47176,2442024,19.32,10045,504325,19.92
2013,8,47096,2424528,19.42,9982,500188,19.96
