Year,Month,Domestic_Fuel_in_thousand_gallon,Domestic_Passenger,Domestic_Ratio_in_gallon_per_passenger,International_Fuel_in_thousand_gallon,International_Passenger,International_Ratio_in_gallon_per_passenger
2002,10,0,724267,0.00,,,
2002,11,0,703437,0.00,,,
2002,12,0,785685,0.00,,,
2003,1,0,702147,0.00,,,
2003,2,9408,704287,13.36,,,
2003,3,10696,816169,13.11,,,
2003,4,10315,761170,13.55,,,
2003,5,10191,845868,12.05,,,
2003,6,10824,911952,11.87,,,
2003,7,11715,969833,12.08,,,
2003,8,12242,980165,12.49,,,
2003,9,12069,908686,13.28,,,
2003,10,12671,989330,12.81,,,
2003,11,12183,946546,12.87,,,
2003,12,12859,994144,12.93,,,
2004,1,13337,897539,14.86,,,
2004,2,12251,918200,13.34,,,
2004,3,13255,1014878,13.06,,,
2004,4,12854,964702,13.32,,,
2004,5,13300,1008305,13.19,,,
2004,6,14101,1123201,12.55,,,
2004,7,15158,1221789,12.41,,,
2004,8,15963,1263692,12.63,,,
2004,9,15620,1190535,13.12,,,
2004,10,16307,1208791,13.49,,,
2004,11,15641,1139372,13.73,,,
2004,12,16259,1167915,13.92,,,
2005,1,16595,1121385,14.80,,,
2005,2,15778,1114296,14.16,,,
2005,3,18525,1362477,13.60,,,
2005,4,17638,1272624,13.86,,,
2005,5,19086,1327170,14.38,,,
2005,6,19409,1408328,13.78,,,
2005,7,20043,1427783,14.04,,,
2005,8,20701,1440394,14.37,,,
2005,9,19723,1332311,14.80,,,
2005,10,20682,1437788,14.38,,,
2005,11,19736,1360442,14.51,,,
2005,12,20200,1391979,14.51,,,
2006,1,20167,1341396,15.03,,,
2006,2,19143,1335439,14.33,,,
2006,3,21980,1613501,13.62,,,
2006,4,21145,1508669,14.02,,,
2006,5,22099,1615007,13.68,,,
2006,6,22314,1672676,13.34,,,
2006,7,22937,1709162,13.42,,,
2006,8,23465,1663995,14.10,,,
2006,9,22127,1520410,14.55,,,
2006,10,23166,1623763,14.27,,,
2006,11,22967,1527311,15.04,,,
2006,12,22685,1529683,14.83,,,
2007,1,21576,1544510,13.97,,,
2007,2,20318,1475652,13.77,,,
2007,3,23477,1787350,13.14,,,
2007,4,21938,1706850,12.85,,,
2007,5,24048,1826256,13.17,,,
2007,6,21930,1884489,11.64,,,
2007,7,22489,1938608,11.60,,,
2007,8,23143,1956432,11.83,,,
2007,9,18047,1722810,10.48,,,
2007,10,18456,1817355,10.16,,,
2007,11,17146,1690723,10.14,,,
2007,12,17215,1612869,10.67,,,
2008,1,16715,1502573,11.12,,,
2008,2,15715,1509288,10.41,,,
2008,3,17114,1784017,9.59,,,
2008,4,16029,1641110,9.77,,,
2008,5,15906,1701298,9.35,,,
2008,6,16457,1741940,9.45,,,
2008,7,16847,1827594,9.22,,,
2008,8,16480,1772659,9.30,,,
2008,9,14590,1554856,9.38,,,
2008,10,14465,1622266,8.92,,,
2008,11,13267,1436085,9.24,,,
2008,12,14628,1359952,10.76,,,
2009,1,14586,1407515,10.36,,,
2009,2,13734,1380450,9.95,,,
2009,3,15373,1643425,9.35,,,
2009,4,15113,1602089,9.43,,,
2009,5,15945,1666038,9.57,,,
2009,6,8955,1804996,4.96,,,
2009,7,9766,1904350,5.13,,,
2009,8,8961,1855255,4.83,,,
2009,9,8059,1688080,4.77,,,
2009,10,8278,1786240,4.63,,,
2009,11,7599,1585129,4.79,,,
2009,12,8424,1702312,4.95,,,
2010,1,9090,1641568,5.54,,,
2010,2,9087,1610642,5.64,,,
2010,3,10531,1956764,5.38,,,
2010,4,10296,1841676,5.59,,,
2010,5,10340,1911468,5.41,,,
2010,6,10937,2039120,5.36,,,
2010,7,11331,2098247,5.40,,,
2010,8,11120,2062301,5.39,,,
2010,9,9890,1871146,5.29,,,
2010,10,10119,1928310,5.25,,,
2010,11,9313,1831376,5.09,,,
2010,12,9528,1853267,5.14,,,
2011,1,9401,1716213,5.48,,,
2011,2,9528,1603432,5.94,,,
2011,3,9756,1923090,5.07,,,
2011,4,9470,1800972,5.26,,,
2011,5,10304,1932873,5.33,,,
2011,6,10560,2041395,5.17,,,
2011,7,11230,2135560,5.26,,,
2011,8,10824,2123467,5.10,,,
2011,9,9702,1888449,5.14,,,
2011,10,9580,1929280,4.97,,,
2011,11,8992,1812962,4.96,,,
2011,12,9564,1852495,5.16,,,
2012,1,8836,1770680,4.99,,,
2012,2,8422,1746293,4.82,,,
2012,3,9514,2111753,4.51,,,
2012,4,8920,2021674,4.41,,,
2012,5,9702,2079625,4.67,,,
2012,6,10118,2192224,4.62,,,
2012,7,6623,2295882,2.88,,,
2012,8,4750,2330441,2.04,,,
2012,9,4858,2054722,2.36,,,
2012,10,3845,2165929,1.78,,,
2012,11,3857,2036978,1.89,,,
2012,12,3992,2062947,1.94,,,
2013,1,3618,1978747,1.83,,,
2013,2,3262,1885644,1.73,,,
2013,3,3592,2265170,1.59,,,
2013,4,3552,2125905,1.67,,,
2013,5,3643,2253003,1.62,,,
2013,6,3793,2265071,1.67,,,
2013,7,4087,2281087,1.79,,,
2013,8,4054,2297816,1.76,,,
