Year,Month,Domestic_Fuel_in_thousand_gallon,Domestic_Passenger,Domestic_Ratio_in_gallon_per_passenger,International_Fuel_in_thousand_gallon,International_Passenger,International_Ratio_in_gallon_per_passenger
2002,10,96725,6063128,15.95,,,
2002,11,90535,5598102,16.17,,,
2002,12,94944,6104562,15.55,,,
2003,1,94309,5484294,17.20,,,
2003,2,86595,5357402,16.16,,,
2003,3,96365,6327876,15.23,,,
2003,4,93282,6133270,15.21,,,
2003,5,96432,6537711,14.75,,,
2003,6,95934,6775552,14.16,,,
2003,7,99573,7132410,13.96,,,
2003,8,98759,6833522,14.45,,,
2003,9,93881,5742239,16.35,,,
2003,10,98378,6274120,15.68,,,
2003,11,92995,6006885,15.48,,,
2003,12,96149,6114059,15.73,,,
2004,1,95238,5358000,17.77,,,
2004,2,91767,5746587,15.97,,,
2004,3,100400,7085817,14.17,,,
2004,4,97270,7115636,13.67,,,
2004,5,100184,7139114,14.03,,,
2004,6,100574,7373298,13.64,,,
2004,7,104139,7620805,13.67,,,
2004,8,104914,7357694,14.26,,,
2004,9,96758,6124253,15.80,,,
2004,10,104253,6891715,15.13,,,
2004,11,100196,6632597,15.11,,,
2004,12,104874,6620522,15.84,,,
2005,1,103178,6034434,17.10,,,
2005,2,95192,6078587,15.66,,,
2005,3,108138,7667725,14.10,,,
2005,4,104026,7125282,14.60,,,
2005,5,108765,7774165,13.99,,,
2005,6,108972,7878213,13.83,,,
2005,7,113489,8483943,13.38,,,
2005,8,113895,8125680,14.02,,,
2005,9,104956,6986126,15.02,,,
2005,10,109752,7563804,14.51,,,
2005,11,106115,7406146,14.33,,,
2005,12,110875,7255795,15.28,,,
2006,1,111444,6860099,16.25,,,
2006,2,102545,6818257,15.04,,,
2006,3,115796,8337128,13.89,,,
2006,4,111878,8130739,13.76,,,
2006,5,115853,8488998,13.65,,,
2006,6,115895,8687121,13.34,,,
2006,7,120724,8763788,13.78,,,
2006,8,122313,8657863,14.13,,,
2006,9,115493,7458995,15.48,,,
2006,10,122492,8140077,15.05,,,
2006,11,116852,8064562,14.49,,,
2006,12,118651,7869280,15.08,,,
2007,1,119510,7284949,16.41,,,
2007,2,109813,6987064,15.72,,,
2007,3,123515,8631060,14.31,,,
2007,4,122194,8434977,14.49,,,
2007,5,126000,8929948,14.11,,,
2007,6,126246,9524499,13.25,,,
2007,7,130955,9657817,13.56,,,
2007,8,131028,9605342,13.64,,,
2007,9,125805,7979454,15.77,,,
2007,10,127930,8524011,15.01,,,
2007,11,122780,8271795,14.84,,,
2007,12,125022,8079893,15.47,,,
2008,1,126111,7654337,16.48,,,
2008,2,117689,7744620,15.20,,,
2008,3,129204,9309658,13.88,,,
2008,4,126293,8794398,14.36,,,
2008,5,131095,9304834,14.09,,,
2008,6,130482,9451725,13.81,,,
2008,7,132512,9362923,14.15,,,
2008,8,130132,8970247,14.51,,,
2008,9,119703,7353011,16.28,,,
2008,10,127187,8562562,14.85,,,
2008,11,118697,7447454,15.94,,,
2008,12,121705,7964829,15.28,,,
2009,1,117231,6993566,16.76,,,
2009,2,106750,7068038,15.10,,,
2009,3,125228,8988386,13.93,,,
2009,4,122815,8814504,13.93,,,
2009,5,124694,8685825,14.36,,,
2009,6,123827,9005109,13.75,,,
2009,7,127823,9554999,13.38,,,
2009,8,122450,8890924,13.77,,,
2009,9,112384,7950437,14.14,,,
2009,10,118447,8776079,13.50,,,
2009,11,110659,8255414,13.40,,,
2009,12,115561,8354947,13.83,,,
2010,1,110707,7576013,14.61,,,
2010,2,98385,6963295,14.13,,,
2010,3,120122,9155156,13.12,,,
2010,4,119272,8911492,13.38,,,
2010,5,125546,9080567,13.83,,,
2010,6,126930,9562142,13.27,,,
2010,7,130299,10001004,13.03,,,
2010,8,126992,9504071,13.36,,,
2010,9,117235,8309821,14.11,,,
2010,10,122422,9358790,13.08,,,
2010,11,118223,8858830,13.35,,,
2010,12,120570,8946340,13.48,,,
2011,1,118506,8307319,14.27,,,
2011,2,106882,7602255,14.06,,,
2011,3,130243,9689544,13.44,,,
2011,4,128067,9223678,13.88,,,
2011,5,131070,9706504,13.50,,,
2011,6,134089,9924612,13.51,,,
2011,7,137211,10118492,13.56,,,
2011,8,131446,9607433,13.68,,,
2011,9,121107,8751116,13.84,,,
2011,10,126966,9522266,13.33,,,
2011,11,119129,9070943,13.13,,,
2011,12,122167,9062653,13.48,,,
2012,1,116468,8169963,14.26,,,
2012,2,112991,8050366,14.04,,,
2012,3,130906,9745795,13.43,,,
2012,4,156198,9371046,16.67,,,
2012,5,162278,9750586,16.64,,,
2012,6,163889,10097756,16.23,,,
2012,7,169960,10440046,16.28,,,
2012,8,161469,10108416,15.97,,,
2012,9,143494,8706901,16.48,,,
2012,10,150275,9590443,15.67,,,
2012,11,143102,9163136,15.62,,,
2012,12,147426,9039620,16.31,,,
2013,1,139334,8047475,17.31,,,
2013,2,129639,7891987,16.43,,,
2013,3,159027,10248051,15.52,,,
2013,4,155384,9643071,16.11,,,
2013,5,158039,10354673,15.26,,,
2013,6,160690,10501237,15.30,,,
2013,7,165618,10516679,15.75,,,
2013,8,156093,9928806,15.72,,,
