Year,Month,Domestic_Fuel_in_thousand_gallon,Domestic_Passenger,Domestic_Ratio_in_gallon_per_passenger,International_Fuel_in_thousand_gallon,International_Passenger,International_Ratio_in_gallon_per_passenger
2002,10,8079,298142,27.10,0,0,0.00
2002,11,8698,329981,26.36,0,0,0.00
2002,12,9513,364041,26.13,0,0,0.00
2003,1,9120,337192,27.05,0,0,0.00
2003,2,8366,310319,26.96,0,0,0.00
2003,3,9503,360083,26.39,0,0,0.00
2003,4,9060,353921,25.60,0,0,0.00
2003,5,7303,297970,24.51,0,0,0.00
2003,6,7489,309012,24.24,0,0,0.00
2003,7,8642,379042,22.80,0,0,0.00
2003,8,8729,377566,23.12,0,0,0.00
2003,9,6513,282064,23.09,0,0,0.00
2003,10,7153,341408,20.95,0,0,0.00
2003,11,9930,354747,27.99,0,0,0.00
2003,12,9892,399773,24.74,0,2832,0.00
2004,1,9308,381233,24.42,0,6447,0.00
2004,2,10044,357334,28.11,0,6007,0.00
2004,3,9774,404029,24.19,0,5875,0.00
2004,4,9328,386773,24.12,0,5947,0.00
2004,5,9439,361688,26.10,0,6561,0.00
2004,6,10355,371801,27.85,0,8416,0.00
2004,7,9768,445580,21.92,0,11691,0.00
2004,8,6741,416423,16.19,0,10664,0.00
2004,9,7599,257047,29.56,0,4887,0.00
2004,10,8699,332066,26.20,0,7142,0.00
2004,11,9875,375433,26.30,0,10348,0.00
2004,12,9232,399158,23.13,0,20060,0.00
2005,1,8160,378081,21.58,290,25292,11.47
2005,2,9461,360730,26.23,363,23264,15.60
2005,3,8749,456232,19.18,480,27417,17.51
2005,4,6900,404165,17.07,564,29944,18.84
2005,5,6652,342736,19.41,1048,39288,26.67
2005,6,7798,349505,22.31,746,42358,17.61
2005,7,6914,404716,17.08,580,52812,10.98
2005,8,5083,352407,14.42,338,40915,8.26
2005,9,5046,240118,21.01,274,19793,13.84
2005,10,5808,249199,23.31,441,21597,20.42
2005,11,6302,260634,24.18,986,37272,26.45
2005,12,6219,281691,22.08,1074,67247,15.97
2006,1,5857,328131,17.85,1089,60980,17.86
2006,2,7034,300525,23.41,1237,54793,22.58
2006,3,6420,383690,16.73,1152,74059,15.56
2006,4,5158,353036,14.61,924,74082,12.47
2006,5,5567,298519,18.65,1028,55389,18.56
2006,6,6242,344519,18.12,1047,69281,15.11
2006,7,6233,359515,17.34,777,78638,9.88
