Year,Month,Domestic_Fuel_in_thousand_gallon,Domestic_Passenger,Domestic_Ratio_in_gallon_per_passenger,International_Fuel_in_thousand_gallon,International_Passenger,International_Ratio_in_gallon_per_passenger
2002,10,61920,3259127,19.00,15034,249630,60.23
2002,11,57848,3054228,18.94,14075,259142,54.31
2002,12,55621,3263276,17.04,14977,268178,55.85
2003,1,57712,2647229,21.80,14051,257143,54.64
2003,2,50897,2636579,19.30,12355,235782,52.40
2003,3,57440,3321963,17.29,15612,328141,47.58
2003,4,55594,3227000,17.23,14900,307569,48.44
2003,5,58330,3289378,17.73,16717,335828,49.78
2003,6,57759,3301128,17.50,17648,394324,44.76
2003,7,59826,3493923,17.12,18422,420052,43.86
2003,8,58856,3369304,17.47,18591,433699,42.87
2003,9,53113,2569887,20.67,17206,297274,57.88
2003,10,57529,3224997,17.84,16807,310022,54.21
2003,11,55790,3087696,18.07,14595,310380,47.02
2003,12,56816,3126777,18.17,15364,324079,47.41
2004,1,56304,2648830,21.26,15626,324064,48.22
2004,2,53735,2796509,19.22,15294,334628,45.70
2004,3,58340,3335691,17.49,16911,411735,41.07
2004,4,56236,3412851,16.48,16779,402920,41.64
2004,5,56751,3191354,17.78,20351,422721,48.14
2004,6,57455,3322300,17.29,20151,454351,44.35
2004,7,60578,3474841,17.43,20245,489000,41.40
2004,8,60337,3286061,18.36,20814,482104,43.17
2004,9,53680,2731590,19.65,17355,306761,56.57
2004,10,60976,3350134,18.20,16584,325848,50.89
2004,11,58426,3172906,18.41,14202,317209,44.77
2004,12,59147,3079357,19.21,15012,326256,46.01
2005,1,58869,2796603,21.05,14972,337260,44.39
2005,2,57952,2927688,19.79,14408,336741,42.79
2005,3,65226,3783164,17.24,16004,464379,34.46
2005,4,61352,3427184,17.90,16721,433284,38.59
2005,5,60612,3406145,17.79,18440,436596,42.24
2005,6,60910,3448374,17.66,19739,492185,40.10
2005,7,61520,3474330,17.71,20763,534548,38.84
2005,8,59254,3133644,18.91,20083,493241,40.72
2005,9,51254,2640960,19.41,17410,345354,50.41
2005,10,88567,2824001,31.36,17465,334161,52.27
2005,11,79365,2703817,29.35,12253,297452,41.19
2005,12,84252,2466212,34.16,16022,323598,49.51
2006,1,81702,2344460,34.85,16081,330918,48.60
2006,2,74965,2408701,31.12,15650,321235,48.72
2006,3,87546,2972716,29.45,17581,427569,41.12
2006,4,84166,2829700,29.74,15077,433944,34.74
2006,5,82097,2827437,29.04,21414,405754,52.78
2006,6,85902,2758017,31.15,19162,474754,40.36
2006,7,88211,2766839,31.88,21927,500937,43.77
2006,8,88304,2630106,33.57,21001,450823,46.58
2006,9,80989,2294199,35.30,17962,315128,57.00
2006,10,84680,2705407,31.30,16231,308467,52.62
2006,11,82117,2728523,30.10,14015,306767,45.69
2006,12,88013,2607616,33.75,15518,332764,46.63
2007,1,84456,2536405,33.30,15508,319196,48.58
2007,2,75080,2436553,30.81,13914,293646,47.38
2007,3,85861,2930202,29.30,16914,397972,42.50
2007,4,83352,2892455,28.82,16503,397351,41.53
2007,5,82552,2902476,28.44,19662,405010,48.55
2007,6,84707,2791602,30.34,16399,480472,34.13
2007,7,84594,2903869,29.13,24154,521307,46.33
2007,8,83423,2902569,28.74,24118,486731,49.55
2007,9,74009,2662548,27.80,20549,375037,54.79
2007,10,79564,4285582,18.57,16907,414700,40.77
2007,11,76305,4059252,18.80,14914,410775,36.31
2007,12,79218,3890143,20.36,17223,475477,36.22
2008,1,78211,3832994,20.40,17340,484036,35.82
2008,2,74123,3798080,19.52,15984,460566,34.71
2008,3,80440,4367864,18.42,18584,590722,31.46
2008,4,76781,4188926,18.33,18741,558632,33.55
2008,5,78147,4203680,18.59,22311,583286,38.25
2008,6,78950,4254333,18.56,23455,611951,38.33
2008,7,81701,4419136,18.49,24350,637436,38.20
2008,8,78016,4271022,18.27,23883,626390,38.13
2008,9,69468,3690613,18.82,19103,410250,46.56
2008,10,71404,3982817,17.93,16190,408721,39.61
2008,11,69054,3648954,18.92,14084,415756,33.88
2008,12,72729,3845604,18.91,16076,482514,33.32
2009,1,70064,3531870,19.84,16728,515644,32.44
2009,2,63388,3329835,19.04,15814,512483,30.86
2009,3,72161,3892988,18.54,18559,624928,29.70
2009,4,69959,3887251,18.00,19010,622531,30.54
2009,5,70959,3859740,18.38,22282,553908,40.23
2009,6,70655,3906391,18.09,24146,602461,40.08
2009,7,72696,4024896,18.06,26181,644877,40.60
2009,8,70966,3897201,18.21,25806,632144,40.82
2009,9,63223,3393147,18.63,22253,444740,50.04
2009,10,68319,3782251,18.06,16910,409810,41.26
2009,11,64587,3479386,18.56,15165,416481,36.41
2009,12,68004,3529922,19.27,16486,478911,34.42
2010,1,65841,3379964,19.48,18290,502415,36.40
2010,2,57150,3135204,18.23,16444,474374,34.66
2010,3,67546,3881445,17.40,20084,610054,32.92
2010,4,65386,3755606,17.41,19475,574446,33.90
2010,5,76641,3848610,19.91,17322,602777,28.74
2010,6,78104,3938005,19.83,18440,651772,28.29
2010,7,80597,3977723,20.26,19691,686894,28.67
2010,8,78611,3979951,19.75,18778,643373,29.19
2010,9,73756,3716000,19.85,16013,474096,33.78
2010,10,74882,4003066,18.71,14616,480864,30.40
2010,11,70781,3770819,18.77,12903,449095,28.73
2010,12,66626,3754249,17.75,20330,519919,39.10
2011,1,64396,3501241,18.39,20188,526721,38.33
2011,2,60276,3322946,18.14,18135,460147,39.41
2011,3,70575,4106449,17.19,20873,584741,35.70
2011,4,67991,3801022,17.89,21883,598787,36.55
2011,5,71835,4077467,17.62,26029,627470,41.48
2011,6,71848,4031292,17.82,26869,652694,41.17
2011,7,74198,4107251,18.07,28532,722933,39.47
2011,8,70116,3933168,17.83,26824,646901,41.47
2011,9,64008,3621389,17.67,24114,478589,50.39
2011,10,66566,3907263,17.04,21955,486744,45.11
2011,11,65166,3897259,16.72,18480,457232,40.42
2011,12,68413,3864186,17.70,20025,505754,39.59
2012,1,67049,3791249,17.69,20439,499973,40.88
2012,2,63324,3681567,17.20,18877,465835,40.52
2012,3,71561,4235000,16.90,21729,611358,35.54
2012,4,67143,3927731,17.09,22105,610551,36.21
2012,5,71252,4065932,17.52,25661,614715,41.74
2012,6,70705,3993658,17.70,28387,680502,41.71
2012,7,73310,4087160,17.94,29579,718237,41.18
2012,8,71325,4092310,17.43,28882,675502,42.76
2012,9,63281,3672871,17.23,23817,480359,49.58
2012,10,65970,3980292,16.57,21319,474323,44.95
2012,11,65930,4028118,16.37,17632,451286,39.07
2012,12,68585,3886612,17.65,19431,511820,37.96
2013,1,68751,3859882,17.81,19720,515188,38.28
2013,2,62371,3886612,16.05,18290,511820,35.74
2013,3,74157,4399197,16.86,21450,634287,33.82
2013,4,69887,4141345,16.88,22584,596044,37.89
2013,5,73263,4314288,16.98,27117,643996,42.11
2013,6,74576,4302715,17.33,30213,719594,41.99
2013,7,76794,4413594,17.40,31268,750801,41.65
2013,8,74921,4386720,17.08,30492,701372,43.47
