Year,Month,Domestic_Fuel_in_thousand_gallon,Domestic_Passenger,Domestic_Ratio_in_gallon_per_passenger,International_Fuel_in_thousand_gallon,International_Passenger,International_Ratio_in_gallon_per_passenger
2002,10,130479,4830714,27.01,82403,792379,103.99
2002,11,119416,4348668,27.46,80600,712756,113.08
2002,12,116896,5069138,23.06,75940,777458,97.68
2003,1,115190,4369263,26.36,76586,732924,104.49
2003,2,99880,4102945,24.34,68238,603146,113.14
2003,3,115426,4843520,23.83,77412,689765,112.23
2003,4,106265,4536394,23.42,63132,517354,122.03
2003,5,110327,4699311,23.48,58350,587265,99.36
2003,6,116135,5038178,23.05,64899,728925,89.03
2003,7,125964,5400012,23.33,67856,812197,83.55
2003,8,123325,5223454,23.61,72489,839038,86.40
2003,9,107131,4265898,25.11,82125,754389,108.86
2003,10,113043,4688073,24.11,75097,766133,98.02
2003,11,108162,4391521,24.63,72812,723513,100.64
2003,12,114954,4742188,24.24,74614,771340,96.73
2004,1,106291,4155776,25.58,82576,732579,112.72
2004,2,111068,4197443,26.46,66742,669223,99.73
2004,3,116576,5029770,23.18,76972,793659,96.98
2004,4,116177,5022073,23.13,74575,744999,100.10
2004,5,120662,5120358,23.57,74151,772278,96.02
2004,6,124298,5604403,22.18,77251,856511,90.19
2004,7,128768,5833064,22.08,81278,878846,92.48
2004,8,130856,5818290,22.49,83029,876265,94.75
2004,9,114198,4803786,23.77,79983,806850,99.13
2004,10,120095,5099458,23.55,81973,789224,103.87
2004,11,104064,4602256,22.61,80700,734005,109.94
2004,12,108632,4781381,22.72,84324,813292,103.68
2005,1,100655,4229943,23.80,87571,832152,105.23
2005,2,90457,3907166,23.15,77591,721354,107.56
2005,3,104423,4725384,22.10,88426,906815,97.51
2005,4,96001,4385818,21.89,81676,837493,97.52
2005,5,103632,4749146,21.82,85940,882503,97.38
2005,6,106344,5052563,21.05,85877,942981,91.07
2005,7,109966,5113511,21.50,89172,956257,93.25
2005,8,110321,4964338,22.22,90197,949729,94.97
2005,9,98362,4338021,22.67,84123,843870,99.69
2005,10,102187,4608511,22.17,85802,840758,102.05
2005,11,99020,4465313,22.18,80659,769870,104.77
2005,12,104476,4613608,22.65,85202,845255,100.80
2006,1,99670,4284312,23.26,84923,852651,99.60
2006,2,93718,4113536,22.78,75628,740246,102.17
2006,3,106922,5008165,21.35,87173,922795,94.47
2006,4,106389,4835959,22.00,83344,895149,93.11
2006,5,109279,5030198,21.72,83148,920206,90.36
2006,6,112514,5228045,21.52,83363,986683,84.49
2006,7,115486,5333170,21.65,86329,1024491,84.27
2006,8,116359,5093192,22.85,86756,992326,87.43
2006,9,104689,4460363,23.47,82066,860956,95.32
2006,10,108179,4827296,22.41,83327,855258,97.43
2006,11,103703,4538865,22.85,79849,835501,95.57
2006,12,105183,4455662,23.61,83374,881800,94.55
2007,1,104875,4364450,24.03,82455,865601,95.26
2007,2,94383,4055672,23.27,73934,746826,99.00
2007,3,110332,5088482,21.68,84108,947707,88.75
2007,4,110332,4921177,22.42,84108,895584,93.91
2007,5,107813,5047618,21.36,86761,937792,92.52
2007,6,108853,5136177,21.19,87194,1010445,86.29
2007,7,112938,5165814,21.86,89918,1037716,86.65
2007,8,114733,5157349,22.25,90486,1023499,88.41
2007,9,100009,4297104,23.27,86203,896710,96.13
2007,10,105338,4687662,22.47,87307,895672,97.48
2007,11,98940,4345102,22.77,83269,835657,99.64
2007,12,100922,4132676,24.42,88640,915739,96.80
2008,1,95136,3814616,24.94,88692,885930,100.11
2008,2,92755,3853886,24.07,83092,791670,104.96
2008,3,104285,4696223,22.21,89854,978600,91.82
2008,4,98535,4471328,22.04,85937,890892,96.46
2008,5,102097,4651223,21.95,89029,946139,94.10
2008,6,106123,4862311,21.83,86898,984198,88.29
2008,7,108645,4905103,22.15,89239,1009938,88.36
2008,8,106378,4854058,21.92,88730,1004594,88.32
2008,9,87974,3973826,22.14,79360,814961,97.38
2008,10,90175,4246756,21.23,79761,809606,98.52
2008,11,80293,3550947,22.61,72515,706184,102.69
2008,12,86822,3781104,22.96,76971,798584,96.38
2009,1,82127,3379371,24.30,75957,756261,100.44
2009,2,77381,3260853,23.73,64901,630223,102.98
2009,3,89903,4083279,22.02,75838,789119,96.10
2009,4,83916,3834934,21.88,77714,793987,97.88
2009,5,85614,3905735,21.92,79880,772120,103.46
2009,6,91127,4213529,21.63,79600,868922,91.61
2009,7,94917,4400040,21.57,82382,943272,87.34
2009,8,94452,4289258,22.02,76819,953737,80.55
2009,9,80001,3554837,22.50,76159,790828,96.30
2009,10,84868,3805704,22.30,75853,773793,98.03
