Year,Month,Domestic_Fuel_in_thousand_gallon,Domestic_Passenger,Domestic_Ratio_in_gallon_per_passenger,International_Fuel_in_thousand_gallon,International_Passenger,International_Ratio_in_gallon_per_passenger
2007,8,813,38743,20.98,0,0,0.00
2007,9,1922,53538,35.90,0,0,0.00
2007,10,2787,82461,33.80,0,0,0.00
2007,11,3056,98238,31.11,0,0,0.00
2007,12,3340,110479,30.23,0,0,0.00
2008,1,3327,96186,34.59,0,0,0.00
2008,2,3173,99300,31.95,0,0,0.00
2008,3,4034,165984,24.30,0,0,0.00
2008,4,4531,198444,22.83,0,0,0.00
2008,5,5123,232562,22.03,0,0,0.00
2008,6,5684,241157,23.57,0,0,0.00
2008,7,6308,277212,22.76,0,0,0.00
2008,8,6069,270781,22.41,0,0,0.00
2008,9,5004,227589,21.99,0,0,0.00
2008,10,5166,227589,22.70,0,0,0.00
2008,11,5148,243626,21.13,0,0,0.00
2008,12,5535,256754,21.56,0,0,0.00
2009,1,5404,204830,26.38,0,0,0.00
2009,2,5714,219244,26.06,0,0,0.00
2009,3,7281,289980,25.11,0,0,0.00
2009,4,6990,287467,24.32,0,0,0.00
2009,5,7360,303979,24.21,0,0,0.00
2009,6,7539,312117,24.15,0,0,0.00
2009,7,8037,346525,23.19,0,0,0.00
2009,8,8308,358611,23.17,0,0,0.00
2009,9,7414,322286,23.00,0,0,0.00
2009,10,7646,329941,23.17,0,0,0.00
2009,11,7586,326476,23.24,0,0,0.00
2009,12,8022,342469,23.42,0,0,0.00
2010,1,7819,287612,27.19,0,0,0.00
2010,2,7053,266294,26.49,0,0,0.00
2010,3,8426,329083,25.60,0,0,0.00
2010,4,8170,319637,25.56,0,0,0.00
2010,5,8528,316771,26.92,0,0,0.00
2010,6,8458,324952,26.03,0,1849,0.00
2010,7,8981,328068,27.38,0,10190,0.00
2010,8,9008,337104,26.72,0,11853,0.00
2010,9,8045,290782,27.67,0,8163,0.00
2010,10,8831,326393,27.06,0,10015,0.00
2010,11,9069,350722,25.86,0,9037,0.00
2010,12,9153,349367,26.20,0,13208,0.00
2011,1,9320,296484,31.44,0,11672,0.00
2011,2,8673,289719,29.94,0,16234,0.00
2011,3,10103,356926,28.31,204,22977,8.88
2011,4,9848,375063,26.26,221,13570,16.29
2011,5,10628,416601,25.51,235,11636,20.20
2011,6,10886,447883,24.31,220,14479,15.19
2011,7,11451,458884,24.95,221,15809,13.98
2011,8,11106,452311,24.55,212,15047,14.09
2011,9,10620,417803,25.42,160,9085,17.61
2011,10,10899,426301,25.57,150,10159,14.77
2011,11,11105,429326,25.87,177,10445,16.95
2011,12,11846,469436,25.23,252,18479,13.64
2012,1,11624,438385,26.52,315,14754,21.35
2012,2,11112,431731,25.74,278,13912,19.98
2012,3,12678,509093,24.90,303,18150,16.69
2012,4,12904,501030,25.75,287,18400,15.60
2012,5,13833,513762,26.92,283,17571,16.11
2012,6,13791,530241,26.01,278,19347,14.37
2012,7,14416,551192,26.15,261,19836,13.16
2012,8,14911,583251,25.57,258,17305,14.91
2012,9,13400,507043,26.43,142,8848,16.05
2012,10,12748,493848,25.81,149,10880,13.69
2012,11,12789,474620,26.95,222,14631,15.17
2012,12,13227,485322,27.25,315,19762,15.94
2013,1,11653,410096,28.42,217,11580,18.74
2013,2,10081,394051,25.58,187,9398,19.90
2013,3,11859,499052,23.76,210,12134,17.31
2013,4,13222,525044,25.18,189,11711,16.14
2013,5,14110,574579,24.56,182,12301,14.80
2013,6,14492,588676,24.62,211,16239,12.99
2013,7,14827,584720,25.36,204,16147,12.63
2013,8,14344,574251,24.98,171,13370,12.79
